N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_2-base,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_2-layer,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_2-layer,conv2/Convolution,57128,21848,102359040,130560,4114432,4114432,409436160,6021120,8560128,2408448,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_4-base,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_4-layer,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_4-layer,conv2/Convolution,72208,1648,204718080,261120,4114432,4114432,409436160,6021120,8690688,2408448,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_8-base,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_8-layer,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_68-kernel_1-stride_1-pad_SAME-group_1-fb_8-wb_8-layer,conv2/Convolution,142718,1598,578027520,737280,146915328,146915328,578027520,18063360,21209088,2408448,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_72-kernel_1-stride_1-pad_SAME-group_1-fb_2-wb_2-base,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_72-kernel_1-stride_1-pad_SAME-group_1-fb_2-wb_2-layer,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_72-kernel_1-stride_1-pad_SAME-group_1-fb_2-wb_2-layer,conv2/Convolution,57168,21888,108380160,138240,4214784,4214784,433520640,6021120,8567808,2408448,192,65536,16384,32768,16
16,32,8,2,width_7-height_7-cin_960-cout_72-kernel_1-stride_1-pad_SAME-group_1-fb_2-wb_4-base,conv1/Convolution,1412798,1598,5780275200,7372800,1469153280,1469153280,5780275200,180633600,212090880,24084480,192,65536,16384,32768,16
