config,latency(ms),power(mWatt)
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07180349999999999,0.025104601218843767
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.0718055,0.025143243043208894
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.0718085,0.025220549981794575
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07180349999999999,0.025104601218843767
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.0718055,0.025143243043208894
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.0718085,0.025220549981794575
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07180349999999999,0.025104601218843767
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.0718055,0.025143243043208894
layer-width_56-height_56-cin_12-cout_12-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.0718085,0.025220549981794575
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.071804125,0.025270630921700166
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.07180675,0.025322160955060746
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07181075,0.02542522367748405
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.071804125,0.025270630921700166
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.07180675,0.025322160955060746
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07181075,0.02542522367748405
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.071804125,0.025270630921700166
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.07180675,0.025322160955060746
layer-width_56-height_56-cin_12-cout_16-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07181075,0.02542522367748405
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07180475,0.025436657734258534
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.071808125,0.025501028246879862
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.071813125,0.02562983993563962
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07180475,0.025436657734258534
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.071808125,0.025501028246879862
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.071813125,0.02562983993563962
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07180475,0.025436657734258534
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.071808125,0.025501028246879862
layer-width_56-height_56-cin_12-cout_20-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.071813125,0.02562983993563962
