,K,O,S,IC,OC,iprec,wprec,cycle
0,3,28,2,64,128,2,2,37122
1,3,28,2,64,128,2,3,37378
2,3,28,2,64,128,2,4,40450
3,3,28,2,64,128,2,5,40664
4,3,28,2,64,128,2,6,41048
5,3,28,2,64,128,2,7,41432
6,3,28,2,64,128,2,8,47108
7,3,28,2,64,128,3,2,38274
8,3,28,2,64,128,3,3,38573
9,3,28,2,64,128,3,4,42926
10,3,28,2,64,128,3,5,57667
11,3,28,2,64,128,3,6,57763
12,3,28,2,64,128,3,7,57859
13,3,28,2,64,128,3,8,57955
14,3,28,2,64,128,4,2,39597
15,3,28,2,64,128,4,3,39896
16,3,28,2,64,128,4,4,45572
17,3,28,2,64,128,4,5,57208
18,3,28,2,64,128,4,6,57304
19,3,28,2,64,128,4,7,57400
20,3,28,2,64,128,4,8,57692
21,3,28,2,64,128,5,2,40835
22,3,28,2,64,128,5,3,58064
23,3,28,2,64,128,5,4,57693
24,3,28,2,64,128,5,5,113683
25,3,28,2,64,128,5,6,113779
26,3,28,2,64,128,5,7,113875
27,3,28,2,64,128,5,8,113924
28,3,28,2,64,128,6,2,42158
29,3,28,2,64,128,6,3,57736
30,3,28,2,64,128,6,4,57352
31,3,28,2,64,128,6,5,113710
32,3,28,2,64,128,6,6,113806
33,3,28,2,64,128,6,7,113902
34,3,28,2,64,128,6,8,113998
35,3,28,2,64,128,7,2,43481
36,3,28,2,64,128,7,3,57744
37,3,28,2,64,128,7,4,57747
38,3,28,2,64,128,7,5,113737
39,3,28,2,64,128,7,6,113833
40,3,28,2,64,128,7,7,113929
41,3,28,2,64,128,7,8,114025
42,3,28,2,64,128,8,2,44804
43,3,28,2,64,128,8,3,57838
44,3,28,2,64,128,8,4,57774
45,3,28,2,64,128,8,5,113656
46,3,28,2,64,128,8,6,113752
47,3,28,2,64,128,8,7,113848
48,3,28,2,64,128,8,8,113560
49,1,56,1,64,64,2,2,69163
50,1,56,1,64,64,2,3,69121
51,1,56,1,64,64,2,4,69163
52,1,56,1,64,64,2,5,69099
53,1,56,1,64,64,2,6,69121
54,1,56,1,64,64,2,7,69142
55,1,56,1,64,64,2,8,69163
56,1,56,1,64,64,3,2,70123
57,1,56,1,64,64,3,3,70102
58,1,56,1,64,64,3,4,70123
59,1,56,1,64,64,3,5,70145
60,1,56,1,64,64,3,6,70166
61,1,56,1,64,64,3,7,70187
62,1,56,1,64,64,3,8,70209
63,1,56,1,64,64,4,2,71169
64,1,56,1,64,64,4,3,71147
65,1,56,1,64,64,4,4,71169
66,1,56,1,64,64,4,5,71190
67,1,56,1,64,64,4,6,71211
68,1,56,1,64,64,4,7,71233
69,1,56,1,64,64,4,8,71254
70,1,56,1,64,64,5,2,72171
71,1,56,1,64,64,5,3,72193
72,1,56,1,64,64,5,4,72214
73,1,56,1,64,64,5,5,72235
74,1,56,1,64,64,5,6,72257
75,1,56,1,64,64,5,7,72278
76,1,56,1,64,64,5,8,72299
77,1,56,1,64,64,6,2,73217
78,1,56,1,64,64,6,3,73238
79,1,56,1,64,64,6,4,73259
80,1,56,1,64,64,6,5,73281
81,1,56,1,64,64,6,6,73302
82,1,56,1,64,64,6,7,73323
83,1,56,1,64,64,6,8,73345
84,1,56,1,64,64,7,2,74262
85,1,56,1,64,64,7,3,74283
86,1,56,1,64,64,7,4,74305
87,1,56,1,64,64,7,5,74326
88,1,56,1,64,64,7,6,74347
89,1,56,1,64,64,7,7,74369
90,1,56,1,64,64,7,8,74390
91,1,56,1,64,64,8,2,75307
92,1,56,1,64,64,8,3,75329
93,1,56,1,64,64,8,4,75350
94,1,56,1,64,64,8,5,75371
95,1,56,1,64,64,8,6,75393
96,1,56,1,64,64,8,7,75414
97,1,56,1,64,64,8,8,75435
98,1,56,1,256,128,2,2,142508
99,1,56,1,256,128,2,3,142678
100,1,56,1,256,128,2,4,142849
101,1,56,1,256,128,2,5,143020
102,1,56,1,256,128,2,6,143190
103,1,56,1,256,128,2,7,143361
104,1,56,1,256,128,2,8,143532
105,1,56,1,256,128,3,2,146689
106,1,56,1,256,128,3,3,146860
107,1,56,1,256,128,3,4,147030
108,1,56,1,256,128,3,5,147201
109,1,56,1,256,128,3,6,147372
110,1,56,1,256,128,3,7,147542
111,1,56,1,256,128,3,8,147713
112,1,56,1,256,128,4,2,150870
113,1,56,1,256,128,4,3,151041
114,1,56,1,256,128,4,4,151211
115,1,56,1,256,128,4,5,151382
116,1,56,1,256,128,4,6,151553
117,1,56,1,256,128,4,7,151723
118,1,56,1,256,128,4,8,151894
119,1,56,1,256,128,5,2,155052
120,1,56,1,256,128,5,3,155222
121,1,56,1,256,128,5,4,155393
122,1,56,1,256,128,5,5,201670
123,1,56,1,256,128,5,6,201841
124,1,56,1,256,128,5,7,202011
125,1,56,1,256,128,5,8,202182
126,1,56,1,256,128,6,2,159233
127,1,56,1,256,128,6,3,159404
128,1,56,1,256,128,6,4,159574
129,1,56,1,256,128,6,5,201675
130,1,56,1,256,128,6,6,201846
131,1,56,1,256,128,6,7,202017
132,1,56,1,256,128,6,8,202187
133,1,56,1,256,128,7,2,163414
134,1,56,1,256,128,7,3,163585
135,1,56,1,256,128,7,4,163755
136,1,56,1,256,128,7,5,201681
137,1,56,1,256,128,7,6,201851
138,1,56,1,256,128,7,7,202022
139,1,56,1,256,128,7,8,202193
140,1,56,1,256,128,8,2,167596
141,1,56,1,256,128,8,3,167766
142,1,56,1,256,128,8,4,167937
143,1,56,1,256,128,8,5,201686
144,1,56,1,256,128,8,6,201857
145,1,56,1,256,128,8,7,202027
146,1,56,1,256,128,8,8,202198
147,3,8,1,256,512,2,2,23478
148,3,8,1,256,512,2,3,29622
149,3,8,1,256,512,2,4,35766
150,3,8,1,256,512,2,5,41910
151,3,8,1,256,512,2,6,48054
152,3,8,1,256,512,2,7,54198
153,3,8,1,256,512,2,8,60342
154,3,8,1,256,512,3,2,23612
155,3,8,1,256,512,3,3,39100
156,3,8,1,256,512,3,4,38332
157,3,8,1,256,512,3,5,74780
158,3,8,1,256,512,3,6,74828
