,IC,OC,iprec,wprec,cycle
0,4096,4096,2,2,176171
1,4096,4096,2,3,263553
2,4096,4096,2,4,350934
3,4096,4096,2,5,438315
4,4096,4096,2,6,525697
5,4096,4096,2,7,613078
6,4096,4096,2,8,700459
7,4096,4096,3,2,176193
8,4096,4096,3,3,263574
9,4096,4096,3,4,350955
10,4096,4096,3,5,438337
11,4096,4096,3,6,525718
12,4096,4096,3,7,613099
13,4096,4096,3,8,700481
14,4096,4096,4,2,176214
15,4096,4096,4,3,263595
16,4096,4096,4,4,350977
17,4096,4096,4,5,438358
18,4096,4096,4,6,525739
19,4096,4096,4,7,613121
20,4096,4096,4,8,700502
21,4096,4096,5,2,176235
22,4096,4096,5,3,263617
23,4096,4096,5,4,350998
24,4096,4096,5,5,438379
25,4096,4096,5,6,525761
26,4096,4096,5,7,613142
27,4096,4096,5,8,700523
28,4096,4096,6,2,176257
29,4096,4096,6,3,263638
30,4096,4096,6,4,351019
31,4096,4096,6,5,438401
32,4096,4096,6,6,525782
33,4096,4096,6,7,613163
34,4096,4096,6,8,700545
35,4096,4096,7,2,176278
36,4096,4096,7,3,263659
37,4096,4096,7,4,351041
38,4096,4096,7,5,438422
39,4096,4096,7,6,525803
40,4096,4096,7,7,613185
41,4096,4096,7,8,700566
42,4096,4096,8,2,176299
43,4096,4096,8,3,263681
44,4096,4096,8,4,351062
45,4096,4096,8,5,438443
46,4096,4096,8,6,525825
47,4096,4096,8,7,613206
48,4096,4096,8,8,700587
49,9216,4096,2,2,394678
50,9216,4096,2,3,591286
51,9216,4096,2,4,787894
52,9216,4096,2,5,984502
53,9216,4096,2,6,1181110
54,9216,4096,2,7,1377718
55,9216,4096,2,8,1574326
56,9216,4096,3,2,394726
57,9216,4096,3,3,591334
58,9216,4096,3,4,787942
59,9216,4096,3,5,984550
60,9216,4096,3,6,1181158
61,9216,4096,3,7,1377766
62,9216,4096,3,8,1574374
63,9216,4096,4,2,394774
64,9216,4096,4,3,591382
65,9216,4096,4,4,787990
66,9216,4096,4,5,984598
67,9216,4096,4,6,1181206
68,9216,4096,4,7,1377814
69,9216,4096,4,8,1574422
70,9216,4096,5,2,394822
71,9216,4096,5,3,591430
72,9216,4096,5,4,788038
73,9216,4096,5,5,984646
74,9216,4096,5,6,1181254
75,9216,4096,5,7,1377862
76,9216,4096,5,8,1574470
77,9216,4096,6,2,394870
78,9216,4096,6,3,591478
79,9216,4096,6,4,788086
80,9216,4096,6,5,984694
81,9216,4096,6,6,1181302
82,9216,4096,6,7,1377910
83,9216,4096,6,8,1574518
84,9216,4096,7,2,394918
85,9216,4096,7,3,591526
86,9216,4096,7,4,788134
87,9216,4096,7,5,984742
88,9216,4096,7,6,1181350
89,9216,4096,7,7,1377958
90,9216,4096,7,8,1574566
91,9216,4096,8,2,394966
92,9216,4096,8,3,591574
93,9216,4096,8,4,788182
94,9216,4096,8,5,984790
95,9216,4096,8,6,1181398
96,9216,4096,8,7,1378006
97,9216,4096,8,8,1574614
98,25088,4096,2,2,1072049
99,25088,4096,2,3,1607259
100,25088,4096,2,4,2142470
101,25088,4096,2,5,2677681
102,25088,4096,2,6,3212891
103,25088,4096,2,7,3748102
104,25088,4096,2,8,4283313
105,25088,4096,3,2,1072179
106,25088,4096,3,3,1607390
107,25088,4096,3,4,2142601
108,25088,4096,3,5,2677811
109,25088,4096,3,6,3213022
110,25088,4096,3,7,3748233
111,25088,4096,3,8,4283443
112,25088,4096,4,2,1072310
113,25088,4096,4,3,1607521
114,25088,4096,4,4,2142731
115,25088,4096,4,5,2677942
116,25088,4096,4,6,3213153
117,25088,4096,4,7,3748363
118,25088,4096,4,8,4283574
119,25088,4096,5,2,1072441
120,25088,4096,5,3,1607651
121,25088,4096,5,4,2142862
122,25088,4096,5,5,2678073
123,25088,4096,5,6,3213283
124,25088,4096,5,7,3748494
125,25088,4096,5,8,4283705
126,25088,4096,6,2,1073356
127,25088,4096,6,3,1608567
128,25088,4096,6,4,2143777
129,25088,4096,6,5,2678989
130,25088,4096,6,6,3214199
131,25088,4096,6,7,3749410
132,25088,4096,6,8,4284621
133,25088,4096,7,2,1073617
134,25088,4096,7,3,1608828
